type,name,test,value
execution-time,wavm,covariance,5.805092
execution-time,wavm,correlation,5.811518
execution-time,wavm,mvt,0.020954
execution-time,wavm,bicg,0.009402
execution-time,wavm,doitgen,0.546307
execution-time,wavm,2mm,3.753542
execution-time,wavm,atax,0.007183
execution-time,wavm,3mm,6.244369
execution-time,wavm,gesummv,0.004096
execution-time,wavm,syrk,1.335136
execution-time,wavm,gemm,1.188308
execution-time,wavm,syr2k,5.079392
execution-time,wavm,trmm,2.259277
execution-time,wavm,gemver,0.025688
execution-time,wavm,symm,3.379107
execution-time,wavm,trisolv,0.002396
execution-time,wavm,durbin,0.005069
execution-time,wavm,ludcmp,8.032023
execution-time,wavm,gramschmidt,10.236248
execution-time,wavm,cholesky,1.50401
execution-time,wavm,lu,8.351622
execution-time,wavm,floyd-warshall,18.455166
execution-time,wavm,nussinov,6.637998
execution-time,wavm,deriche,0.232295
execution-time,wavm,heat-3d,4.851839
execution-time,wavm,seidel-2d,18.560036
execution-time,wavm,jacobi-2d,2.968163
execution-time,wavm,adi,8.323986
execution-time,wavm,fdtd-2d,2.874654
execution-time,wavm,jacobi-1d,0.001964
