type,name,test,value
execution-time,wasmer,covariance,7.224632
execution-time,wasmer,correlation,7.116226
execution-time,wasmer,mvt,0.033529
execution-time,wasmer,bicg,0.024784
execution-time,wasmer,doitgen,1.238188
execution-time,wasmer,2mm,8.201366
execution-time,wasmer,atax,0.02128
execution-time,wasmer,3mm,16.584865
execution-time,wasmer,gesummv,0.009892
execution-time,wasmer,syrk,3.954013
execution-time,wasmer,gemm,3.764802
execution-time,wasmer,syr2k,10.798619
execution-time,wasmer,trmm,2.976751
execution-time,wasmer,gemver,0.053207
execution-time,wasmer,symm,7.077155
execution-time,wasmer,trisolv,0.004745
execution-time,wasmer,durbin,0.012857
execution-time,wasmer,ludcmp,13.461103
execution-time,wasmer,gramschmidt,10.049305
execution-time,wasmer,cholesky,2.944388
execution-time,wasmer,lu,13.890963
execution-time,wasmer,floyd-warshall,81.375488
execution-time,wasmer,nussinov,13.833239
execution-time,wasmer,deriche,0.257797
execution-time,wasmer,heat-3d,11.855917
execution-time,wasmer,seidel-2d,21.660797
execution-time,wasmer,jacobi-2d,7.920803
execution-time,wasmer,adi,9.85814
execution-time,wasmer,fdtd-2d,7.259055
execution-time,wasmer,jacobi-1d,0.006647
