type,name,test,value
execution-time,nodejswasm,covariance,5.847
execution-time,nodejswasm,correlation,5.931
execution-time,nodejswasm,mvt,0.021
execution-time,nodejswasm,bicg,0.01
execution-time,nodejswasm,doitgen,0.572
execution-time,nodejswasm,2mm,4.245
execution-time,nodejswasm,atax,0.007
execution-time,nodejswasm,3mm,7.758
execution-time,nodejswasm,gesummv,0.004
execution-time,nodejswasm,syrk,1.516
execution-time,nodejswasm,gemm,1.814
execution-time,nodejswasm,syr2k,5.184
execution-time,nodejswasm,trmm,2.356
execution-time,nodejswasm,gemver,0.028
execution-time,nodejswasm,symm,3.694
execution-time,nodejswasm,trisolv,0.002
execution-time,nodejswasm,durbin,0.005
execution-time,nodejswasm,ludcmp,8.692
execution-time,nodejswasm,gramschmidt,10.01
execution-time,nodejswasm,cholesky,1.526
execution-time,nodejswasm,lu,8.8
execution-time,nodejswasm,floyd-warshall,36.042
execution-time,nodejswasm,nussinov,8.244
execution-time,nodejswasm,deriche,0.237
execution-time,nodejswasm,heat-3d,4.583
execution-time,nodejswasm,seidel-2d,20.538
execution-time,nodejswasm,jacobi-2d,2.918
execution-time,nodejswasm,adi,8.901
execution-time,nodejswasm,fdtd-2d,3.16
execution-time,nodejswasm,jacobi-1d,0.003
