type,name,test,value
initialization-time,nodejswasm,covariance,0.041024588004802354
initialization-time,nodejswasm,correlation,0.04150951200426789
initialization-time,nodejswasm,mvt,0.03908423300163122
initialization-time,nodejswasm,bicg,0.03722854199440917
initialization-time,nodejswasm,doitgen,0.03897388699988369
initialization-time,nodejswasm,2mm,0.04094926700054202
initialization-time,nodejswasm,atax,0.040668254005140625
initialization-time,nodejswasm,3mm,0.04075087399542099
initialization-time,nodejswasm,gesummv,0.0377987409956404
initialization-time,nodejswasm,syrk,0.037033136999525595
initialization-time,nodejswasm,gemm,0.040015960003074724
initialization-time,nodejswasm,syr2k,0.04005186300491914
initialization-time,nodejswasm,trmm,0.040880127002310473
initialization-time,nodejswasm,gemver,0.03974495799775468
initialization-time,nodejswasm,symm,0.03787528900284087
initialization-time,nodejswasm,trisolv,0.03781658600200899
initialization-time,nodejswasm,durbin,0.04047729100420838
initialization-time,nodejswasm,ludcmp,0.04084760000114329
initialization-time,nodejswasm,gramschmidt,0.040776118003122974
initialization-time,nodejswasm,cholesky,0.03908183000021381
initialization-time,nodejswasm,lu,0.04084153100120602
initialization-time,nodejswasm,floyd-warshall,0.041727780997462105
initialization-time,nodejswasm,nussinov,0.03957103799621109
initialization-time,nodejswasm,deriche,0.04103858100279467
initialization-time,nodejswasm,heat-3d,0.0416270719942986
initialization-time,nodejswasm,seidel-2d,0.03880174300138606
initialization-time,nodejswasm,jacobi-2d,0.03803457799949683
initialization-time,nodejswasm,adi,0.041239286998461466
initialization-time,nodejswasm,fdtd-2d,0.04145054699620232
initialization-time,nodejswasm,jacobi-1d,0.04098115999659058
