type,name,test,value
execution-time,wasmerllvm,covariance,7.673754
execution-time,wasmerllvm,correlation,7.10782
execution-time,wasmerllvm,mvt,0.049848
execution-time,wasmerllvm,bicg,0.022323
execution-time,wasmerllvm,doitgen,2.184342
execution-time,wasmerllvm,2mm,8.696542
execution-time,wasmerllvm,atax,0.027799
execution-time,wasmerllvm,3mm,18.811952
execution-time,wasmerllvm,gesummv,0.009226
execution-time,wasmerllvm,syrk,3.247074
execution-time,wasmerllvm,gemm,4.697975
execution-time,wasmerllvm,syr2k,8.803959
execution-time,wasmerllvm,trmm,3.387679
execution-time,wasmerllvm,gemver,0.066181
execution-time,wasmerllvm,symm,5.772647
execution-time,wasmerllvm,trisolv,0.008314
execution-time,wasmerllvm,durbin,0.017811
execution-time,wasmerllvm,ludcmp,14.269787
execution-time,wasmerllvm,gramschmidt,9.831175
execution-time,wasmerllvm,cholesky,5.740585
execution-time,wasmerllvm,lu,14.865057
execution-time,wasmerllvm,floyd-warshall,53.931693
execution-time,wasmerllvm,nussinov,13.803958
execution-time,wasmerllvm,deriche,0.475413
execution-time,wasmerllvm,heat-3d,20.46027
execution-time,wasmerllvm,seidel-2d,43.878366
execution-time,wasmerllvm,jacobi-2d,12.284691
execution-time,wasmerllvm,adi,21.991632
execution-time,wasmerllvm,fdtd-2d,9.602926
execution-time,wasmerllvm,jacobi-1d,0.00815
