type,name,test,value
initialization-time,wasmtimecraneliftoptimized,covariance,0.1607770279952092
initialization-time,wasmtimecraneliftoptimized,correlation,0.1421502790035447
initialization-time,wasmtimecraneliftoptimized,mvt,0.14361616899986984
initialization-time,wasmtimecraneliftoptimized,bicg,0.1449203439988196
initialization-time,wasmtimecraneliftoptimized,doitgen,0.20631969399983063
initialization-time,wasmtimecraneliftoptimized,2mm,0.15423359200212872
initialization-time,wasmtimecraneliftoptimized,atax,0.16457833999447757
initialization-time,wasmtimecraneliftoptimized,3mm,0.161772547995497
initialization-time,wasmtimecraneliftoptimized,gesummv,0.14930008100054692
initialization-time,wasmtimecraneliftoptimized,syrk,0.14690767700085416
initialization-time,wasmtimecraneliftoptimized,gemm,0.1464325449996977
initialization-time,wasmtimecraneliftoptimized,syr2k,0.1425063089991454
initialization-time,wasmtimecraneliftoptimized,trmm,0.1452328219966148
initialization-time,wasmtimecraneliftoptimized,gemver,0.14759446900279727
initialization-time,wasmtimecraneliftoptimized,symm,0.1494203309994191
initialization-time,wasmtimecraneliftoptimized,trisolv,0.14446557100018254
initialization-time,wasmtimecraneliftoptimized,durbin,0.14902872500533704
initialization-time,wasmtimecraneliftoptimized,ludcmp,0.16434361699793953
initialization-time,wasmtimecraneliftoptimized,gramschmidt,0.1416837229990051
initialization-time,wasmtimecraneliftoptimized,cholesky,0.14536445300473133
initialization-time,wasmtimecraneliftoptimized,lu,0.1555067119988962
initialization-time,wasmtimecraneliftoptimized,floyd-warshall,0.14642096999887144
initialization-time,wasmtimecraneliftoptimized,nussinov,0.14531643900409108
initialization-time,wasmtimecraneliftoptimized,deriche,0.14467037899885327
initialization-time,wasmtimecraneliftoptimized,heat-3d,0.14894237800035626
initialization-time,wasmtimecraneliftoptimized,seidel-2d,0.15366214499954367
initialization-time,wasmtimecraneliftoptimized,jacobi-2d,0.14312318900192622
initialization-time,wasmtimecraneliftoptimized,adi,0.14668625900230836
initialization-time,wasmtimecraneliftoptimized,fdtd-2d,0.15466850100347074
initialization-time,wasmtimecraneliftoptimized,jacobi-1d,0.1412239050041535
