type,name,test,value
initialization-time,wavm,covariance,0.4151115439999842
initialization-time,wavm,correlation,0.34682292700000517
initialization-time,wavm,mvt,0.3446973279999952
initialization-time,wavm,bicg,0.3463940720000096
initialization-time,wavm,doitgen,0.3454229569999825
initialization-time,wavm,2mm,0.34577140999999756
initialization-time,wavm,atax,0.34317720499998927
initialization-time,wavm,3mm,0.3484115960000054
initialization-time,wavm,gesummv,0.34242062699999565
initialization-time,wavm,syrk,0.34256847300000004
initialization-time,wavm,gemm,0.3407294139999806
initialization-time,wavm,syr2k,0.3452610649999883
initialization-time,wavm,trmm,0.3417174960000011
initialization-time,wavm,gemver,0.34494179399999325
initialization-time,wavm,symm,0.34446809900001085
initialization-time,wavm,trisolv,0.34129073499997276
initialization-time,wavm,durbin,0.33884142799999495
initialization-time,wavm,ludcmp,0.35000843500000656
initialization-time,wavm,gramschmidt,0.34993234199998824
initialization-time,wavm,cholesky,0.35504432900000893
initialization-time,wavm,lu,0.3500847440000143
initialization-time,wavm,floyd-warshall,0.4055443539999999
initialization-time,wavm,nussinov,0.4073996550000061
initialization-time,wavm,deriche,0.36321408500000985
initialization-time,wavm,heat-3d,0.35168139100002804
initialization-time,wavm,seidel-2d,0.3405538810000053
initialization-time,wavm,jacobi-2d,0.34443188499997746
initialization-time,wavm,adi,0.34929046600001357
initialization-time,wavm,fdtd-2d,0.35065349399999945
initialization-time,wavm,jacobi-1d,0.3385260890000268
