type,name,test,value
execution-time,wasmer,covariance,6.717054
execution-time,wasmer,correlation,6.750634
execution-time,wasmer,mvt,0.033036
execution-time,wasmer,bicg,0.024996
execution-time,wasmer,doitgen,1.252781
execution-time,wasmer,2mm,7.643071
execution-time,wasmer,atax,0.021117
execution-time,wasmer,3mm,16.050437
execution-time,wasmer,gesummv,0.009743
execution-time,wasmer,syrk,3.704916
execution-time,wasmer,gemm,3.909315
execution-time,wasmer,syr2k,9.78349
execution-time,wasmer,trmm,2.854312
execution-time,wasmer,gemver,0.050525
execution-time,wasmer,symm,6.425191
execution-time,wasmer,trisolv,0.004378
execution-time,wasmer,durbin,0.012021
execution-time,wasmer,ludcmp,12.265167
execution-time,wasmer,gramschmidt,9.987864
execution-time,wasmer,cholesky,2.920555
execution-time,wasmer,lu,13.618793
execution-time,wasmer,floyd-warshall,77.425265
execution-time,wasmer,nussinov,13.880626
execution-time,wasmer,deriche,0.257491
execution-time,wasmer,heat-3d,11.384981
execution-time,wasmer,seidel-2d,21.562548
execution-time,wasmer,jacobi-2d,8.007309
execution-time,wasmer,adi,10.046653
execution-time,wasmer,fdtd-2d,6.89072
execution-time,wasmer,jacobi-1d,0.006564
