type,name,test,value
execution-time,wasmerllvm,covariance,7.542605
execution-time,wasmerllvm,correlation,7.256771
execution-time,wasmerllvm,mvt,0.041733
execution-time,wasmerllvm,bicg,0.022172
execution-time,wasmerllvm,doitgen,2.118229
execution-time,wasmerllvm,2mm,9.078175
execution-time,wasmerllvm,atax,0.027281
execution-time,wasmerllvm,3mm,16.954138
execution-time,wasmerllvm,gesummv,0.009045
execution-time,wasmerllvm,syrk,3.160103
execution-time,wasmerllvm,gemm,4.213759
execution-time,wasmerllvm,syr2k,8.705854
execution-time,wasmerllvm,trmm,3.382073
execution-time,wasmerllvm,gemver,0.066215
execution-time,wasmerllvm,symm,5.930325
execution-time,wasmerllvm,trisolv,0.008321
execution-time,wasmerllvm,durbin,0.017885
execution-time,wasmerllvm,ludcmp,13.254133
execution-time,wasmerllvm,gramschmidt,10.067655
execution-time,wasmerllvm,cholesky,5.42767
execution-time,wasmerllvm,lu,14.191515
execution-time,wasmerllvm,floyd-warshall,52.88412
execution-time,wasmerllvm,nussinov,11.957838
execution-time,wasmerllvm,deriche,0.470695
execution-time,wasmerllvm,heat-3d,20.379589
execution-time,wasmerllvm,seidel-2d,43.833779
execution-time,wasmerllvm,jacobi-2d,11.994353
execution-time,wasmerllvm,adi,20.588326
execution-time,wasmerllvm,fdtd-2d,9.250922
execution-time,wasmerllvm,jacobi-1d,0.00824
