type,name,test,value
execution-time,wavm,covariance,5.809827
execution-time,wavm,correlation,5.863509
execution-time,wavm,mvt,0.020752
execution-time,wavm,bicg,0.009384
execution-time,wavm,doitgen,0.532686
execution-time,wavm,2mm,3.593847
execution-time,wavm,atax,0.007168
execution-time,wavm,3mm,6.244632
execution-time,wavm,gesummv,0.004091
execution-time,wavm,syrk,1.33297
execution-time,wavm,gemm,1.164784
execution-time,wavm,syr2k,5.05754
execution-time,wavm,trmm,2.323385
execution-time,wavm,gemver,0.026099
execution-time,wavm,symm,3.352634
execution-time,wavm,trisolv,0.002404
execution-time,wavm,durbin,0.005182
execution-time,wavm,ludcmp,7.959244
execution-time,wavm,gramschmidt,10.26224
execution-time,wavm,cholesky,1.504576
execution-time,wavm,lu,8.28441
execution-time,wavm,floyd-warshall,18.498681
execution-time,wavm,nussinov,6.524984
execution-time,wavm,deriche,0.233004
execution-time,wavm,heat-3d,4.81164
execution-time,wavm,seidel-2d,18.573581
execution-time,wavm,jacobi-2d,2.9564
execution-time,wavm,adi,8.334304
execution-time,wavm,fdtd-2d,2.788878
execution-time,wavm,jacobi-1d,0.00196
