type,name,test,value
execution-time,wavmsimd,covariance,5.895322
execution-time,wavmsimd,correlation,5.905826
execution-time,wavmsimd,mvt,0.021091
execution-time,wavmsimd,bicg,0.009392
execution-time,wavmsimd,doitgen,0.561349
execution-time,wavmsimd,2mm,3.760967
execution-time,wavmsimd,atax,0.007176
execution-time,wavmsimd,3mm,6.567887
execution-time,wavmsimd,gesummv,0.004085
execution-time,wavmsimd,syrk,1.400266
execution-time,wavmsimd,gemm,1.183048
execution-time,wavmsimd,syr2k,5.132103
execution-time,wavmsimd,trmm,2.393809
execution-time,wavmsimd,gemver,0.026847
execution-time,wavmsimd,symm,3.403244
execution-time,wavmsimd,trisolv,0.002418
execution-time,wavmsimd,durbin,0.005061
execution-time,wavmsimd,ludcmp,8.124337
execution-time,wavmsimd,gramschmidt,10.205089
execution-time,wavmsimd,cholesky,1.511467
execution-time,wavmsimd,lu,8.432889
execution-time,wavmsimd,floyd-warshall,17.731668
execution-time,wavmsimd,nussinov,6.8103
execution-time,wavmsimd,deriche,0.229318
execution-time,wavmsimd,heat-3d,5.001041
execution-time,wavmsimd,seidel-2d,18.575374
execution-time,wavmsimd,jacobi-2d,2.976091
execution-time,wavmsimd,adi,8.320805
execution-time,wavmsimd,fdtd-2d,2.755335
execution-time,wavmsimd,jacobi-1d,0.001961
