type,name,test,value
execution-time,x8664generic,covariance,5.634075
execution-time,x8664generic,correlation,5.97156
execution-time,x8664generic,mvt,0.020091
execution-time,x8664generic,bicg,0.010488
execution-time,x8664generic,doitgen,0.521643
execution-time,x8664generic,2mm,3.131612
execution-time,x8664generic,atax,0.006557
execution-time,x8664generic,3mm,5.639921
execution-time,x8664generic,gesummv,0.00503
execution-time,x8664generic,syrk,0.983337
execution-time,x8664generic,gemm,0.7425
execution-time,x8664generic,syr2k,4.617827
execution-time,x8664generic,trmm,2.186278
execution-time,x8664generic,gemver,0.026018
execution-time,x8664generic,symm,3.199361
execution-time,x8664generic,trisolv,0.002786
execution-time,x8664generic,durbin,0.003299
execution-time,x8664generic,ludcmp,7.766329
execution-time,x8664generic,gramschmidt,10.170338
execution-time,x8664generic,cholesky,1.487338
execution-time,x8664generic,lu,8.140146
execution-time,x8664generic,floyd-warshall,16.597584
execution-time,x8664generic,nussinov,6.008894
execution-time,x8664generic,deriche,0.234703
execution-time,x8664generic,heat-3d,2.552258
execution-time,x8664generic,seidel-2d,18.581876
execution-time,x8664generic,jacobi-2d,1.765171
execution-time,x8664generic,adi,8.42652
execution-time,x8664generic,fdtd-2d,2.247807
execution-time,x8664generic,jacobi-1d,0.000862
