type,name,test,value
initialization-time,nodejs,covariance,0.031429413000296336
initialization-time,nodejs,correlation,0.031380770000396296
initialization-time,nodejs,mvt,0.031931186000292655
initialization-time,nodejs,bicg,0.03597475999413291
initialization-time,nodejs,doitgen,0.03630894900561543
initialization-time,nodejs,2mm,0.03547251200507162
initialization-time,nodejs,atax,0.036056384997209534
initialization-time,nodejs,3mm,0.03602333599701524
initialization-time,nodejs,gesummv,0.033381296998413745
initialization-time,nodejs,syrk,0.03334285200253362
initialization-time,nodejs,gemm,0.031856702000368387
initialization-time,nodejs,syr2k,0.033780806996219326
initialization-time,nodejs,trmm,0.03304767499503214
initialization-time,nodejs,gemver,0.034417745002429
initialization-time,nodejs,symm,0.03265172700048424
initialization-time,nodejs,trisolv,0.03244507499766769
initialization-time,nodejs,durbin,0.03128077899600612
initialization-time,nodejs,ludcmp,0.03291669399914099
initialization-time,nodejs,gramschmidt,0.03307675399992149
initialization-time,nodejs,cholesky,0.032507825999346096
initialization-time,nodejs,lu,0.034504957002354786
initialization-time,nodejs,floyd-warshall,0.03367848299967591
initialization-time,nodejs,nussinov,0.032232687997748144
initialization-time,nodejs,deriche,0.03135995000047842
initialization-time,nodejs,heat-3d,0.03204865400039125
initialization-time,nodejs,seidel-2d,0.0331716549990233
initialization-time,nodejs,jacobi-2d,0.03349552999861771
initialization-time,nodejs,adi,0.03271474999928614
initialization-time,nodejs,fdtd-2d,0.03130583799793385
initialization-time,nodejs,jacobi-1d,0.03266577600152232
