type,name,test,value
execution-time,nodejswasm,covariance,5.808
execution-time,nodejswasm,correlation,5.917
execution-time,nodejswasm,mvt,0.02
execution-time,nodejswasm,bicg,0.01
execution-time,nodejswasm,doitgen,0.563
execution-time,nodejswasm,2mm,4.308
execution-time,nodejswasm,atax,0.007
execution-time,nodejswasm,3mm,7.872
execution-time,nodejswasm,gesummv,0.004
execution-time,nodejswasm,syrk,1.528
execution-time,nodejswasm,gemm,1.83
execution-time,nodejswasm,syr2k,5.162
execution-time,nodejswasm,trmm,2.331
execution-time,nodejswasm,gemver,0.029
execution-time,nodejswasm,symm,3.678
execution-time,nodejswasm,trisolv,0.002
execution-time,nodejswasm,durbin,0.004
execution-time,nodejswasm,ludcmp,8.683
execution-time,nodejswasm,gramschmidt,10.014
execution-time,nodejswasm,cholesky,1.523
execution-time,nodejswasm,lu,8.819
execution-time,nodejswasm,floyd-warshall,35.044
execution-time,nodejswasm,nussinov,8.247
execution-time,nodejswasm,deriche,0.243
execution-time,nodejswasm,heat-3d,4.716
execution-time,nodejswasm,seidel-2d,20.538
execution-time,nodejswasm,jacobi-2d,2.926
execution-time,nodejswasm,adi,8.878
execution-time,nodejswasm,fdtd-2d,3.16
execution-time,nodejswasm,jacobi-1d,0.002
