type,name,test,value
execution-time,nodejs,covariance,6.105
execution-time,nodejs,correlation,6.083
execution-time,nodejs,mvt,0.037
execution-time,nodejs,bicg,0.017
execution-time,nodejs,doitgen,0.854
execution-time,nodejs,2mm,5.745
execution-time,nodejs,atax,0.021
execution-time,nodejs,3mm,10.358
execution-time,nodejs,gesummv,0.012
execution-time,nodejs,syrk,1.97
execution-time,nodejs,gemm,2.744
execution-time,nodejs,syr2k,5.914
execution-time,nodejs,trmm,2.511
execution-time,nodejs,gemver,0.059
execution-time,nodejs,symm,4.392
execution-time,nodejs,trisolv,0.009
execution-time,nodejs,durbin,0.015
execution-time,nodejs,ludcmp,11.051
execution-time,nodejs,gramschmidt,9.665
execution-time,nodejs,cholesky,2.634
execution-time,nodejs,lu,11.438
execution-time,nodejs,floyd-warshall,40.431
execution-time,nodejs,nussinov,11.459
execution-time,nodejs,deriche,0.594
execution-time,nodejs,heat-3d,8.074
execution-time,nodejs,seidel-2d,19.659
execution-time,nodejs,jacobi-2d,6.035
execution-time,nodejs,adi,9.192
execution-time,nodejs,fdtd-2d,4.782
execution-time,nodejs,jacobi-1d,0.01
