type,name,test,value
initialization-time,nodejswasm,covariance,0.04015332899871282
initialization-time,nodejswasm,correlation,0.03881243600335438
initialization-time,nodejswasm,mvt,0.041817323995928746
initialization-time,nodejswasm,bicg,0.039640879003854934
initialization-time,nodejswasm,doitgen,0.03859080099937273
initialization-time,nodejswasm,2mm,0.039801529004762415
initialization-time,nodejswasm,atax,0.03998341099941172
initialization-time,nodejswasm,3mm,0.039718336003716104
initialization-time,nodejswasm,gesummv,0.040973264003696386
initialization-time,nodejswasm,syrk,0.03839208900171798
initialization-time,nodejswasm,gemm,0.03794514900073409
initialization-time,nodejswasm,syr2k,0.038693905000400264
initialization-time,nodejswasm,trmm,0.040269428995088674
initialization-time,nodejswasm,gemver,0.04117561599559849
initialization-time,nodejswasm,symm,0.040913855998951476
initialization-time,nodejswasm,trisolv,0.039708747004624456
initialization-time,nodejswasm,durbin,0.03850345699902391
initialization-time,nodejswasm,ludcmp,0.03927570399537217
initialization-time,nodejswasm,gramschmidt,0.040459371004544664
initialization-time,nodejswasm,cholesky,0.04566683200391708
initialization-time,nodejswasm,lu,0.039533318995381705
initialization-time,nodejswasm,floyd-warshall,0.03977745200245408
initialization-time,nodejswasm,nussinov,0.03826841500267619
initialization-time,nodejswasm,deriche,0.039936736997333355
initialization-time,nodejswasm,heat-3d,0.04132246299559483
initialization-time,nodejswasm,seidel-2d,0.04186922799999593
initialization-time,nodejswasm,jacobi-2d,0.04293791900272481
initialization-time,nodejswasm,adi,0.041069496001000516
initialization-time,nodejswasm,fdtd-2d,0.04036507799901301
initialization-time,nodejswasm,jacobi-1d,0.03952613600267796
