type,name,test,value
execution-time,nodejswasm,covariance,5.834
execution-time,nodejswasm,correlation,5.903
execution-time,nodejswasm,mvt,0.02
execution-time,nodejswasm,bicg,0.01
execution-time,nodejswasm,doitgen,0.59
execution-time,nodejswasm,2mm,4.435
execution-time,nodejswasm,atax,0.008
execution-time,nodejswasm,3mm,7.911
execution-time,nodejswasm,gesummv,0.004
execution-time,nodejswasm,syrk,1.49
execution-time,nodejswasm,gemm,1.789
execution-time,nodejswasm,syr2k,5.186
execution-time,nodejswasm,trmm,2.326
execution-time,nodejswasm,gemver,0.029
execution-time,nodejswasm,symm,3.691
execution-time,nodejswasm,trisolv,0.002
execution-time,nodejswasm,durbin,0.005
execution-time,nodejswasm,ludcmp,8.799
execution-time,nodejswasm,gramschmidt,10.033
execution-time,nodejswasm,cholesky,1.525
execution-time,nodejswasm,lu,8.876
execution-time,nodejswasm,floyd-warshall,35.316
execution-time,nodejswasm,nussinov,8.216
execution-time,nodejswasm,deriche,0.24
execution-time,nodejswasm,heat-3d,4.584
execution-time,nodejswasm,seidel-2d,20.542
execution-time,nodejswasm,jacobi-2d,2.911
execution-time,nodejswasm,adi,8.919
execution-time,nodejswasm,fdtd-2d,3.16
execution-time,nodejswasm,jacobi-1d,0.002
