type,name,test,value
execution-time,wasmtimecranelift,2mm,13.455195
execution-time,wasmtimecranelift,3mm,24.647671
execution-time,wasmtimecranelift,adi,18.915383
execution-time,wasmtimecranelift,atax,0.027771
execution-time,wasmtimecranelift,bicg,0.033787
execution-time,wasmtimecranelift,cholesky,6.479137
execution-time,wasmtimecranelift,correlation,9.413522
execution-time,wasmtimecranelift,covariance,8.806836
execution-time,wasmtimecranelift,deriche,0.38638
execution-time,wasmtimecranelift,doitgen,2.599742
execution-time,wasmtimecranelift,durbin,0.023274
execution-time,wasmtimecranelift,fdtd-2d,12.631706
execution-time,wasmtimecranelift,floyd-warshall,144.381072
execution-time,wasmtimecranelift,gemm,7.44628
execution-time,wasmtimecranelift,gemver,0.082771
execution-time,wasmtimecranelift,gesummv,0.017179
execution-time,wasmtimecranelift,gramschmidt,12.750319
execution-time,wasmtimecranelift,heat-3d,21.649111
execution-time,wasmtimecranelift,jacobi-1d,0.011585
execution-time,wasmtimecranelift,jacobi-2d,15.609291
execution-time,wasmtimecranelift,lu,21.391778
execution-time,wasmtimecranelift,ludcmp,15.693917
execution-time,wasmtimecranelift,mvt,0.044003
execution-time,wasmtimecranelift,nussinov,19.359574
execution-time,wasmtimecranelift,seidel-2d,21.488959
execution-time,wasmtimecranelift,symm,7.968713
execution-time,wasmtimecranelift,syr2k,14.182962
execution-time,wasmtimecranelift,syrk,5.330447
execution-time,wasmtimecranelift,trisolv,0.005609
execution-time,wasmtimecranelift,trmm,3.678704
