type,name,test,value
execution-time,wasmtimecranelift,covariance,9.407125
execution-time,wasmtimecranelift,correlation,9.682988
execution-time,wasmtimecranelift,mvt,0.047082
execution-time,wasmtimecranelift,bicg,0.033843
execution-time,wasmtimecranelift,doitgen,2.58256
execution-time,wasmtimecranelift,2mm,13.63495
execution-time,wasmtimecranelift,atax,0.02846
execution-time,wasmtimecranelift,3mm,28.029342
execution-time,wasmtimecranelift,gesummv,0.017244
execution-time,wasmtimecranelift,syrk,5.774764
execution-time,wasmtimecranelift,gemm,7.070123
execution-time,wasmtimecranelift,syr2k,16.496827
execution-time,wasmtimecranelift,trmm,3.947539
execution-time,wasmtimecranelift,gemver,0.08404
execution-time,wasmtimecranelift,symm,9.233273
execution-time,wasmtimecranelift,trisolv,0.005942
execution-time,wasmtimecranelift,durbin,0.02242
execution-time,wasmtimecranelift,ludcmp,17.009995
execution-time,wasmtimecranelift,gramschmidt,13.163111
execution-time,wasmtimecranelift,cholesky,5.497533
execution-time,wasmtimecranelift,lu,20.261506
execution-time,wasmtimecranelift,floyd-warshall,142.511781
execution-time,wasmtimecranelift,nussinov,21.283638
execution-time,wasmtimecranelift,deriche,0.392957
execution-time,wasmtimecranelift,heat-3d,21.509034
execution-time,wasmtimecranelift,seidel-2d,21.807494
execution-time,wasmtimecranelift,jacobi-2d,15.257777
execution-time,wasmtimecranelift,adi,19.412592
execution-time,wasmtimecranelift,fdtd-2d,13.212294
execution-time,wasmtimecranelift,jacobi-1d,0.011491
