type,name,test,value
execution-time,wavmsimd,covariance,5.792161
execution-time,wavmsimd,correlation,5.83085
execution-time,wavmsimd,mvt,0.02143
execution-time,wavmsimd,bicg,0.009416
execution-time,wavmsimd,doitgen,0.536096
execution-time,wavmsimd,2mm,3.859255
execution-time,wavmsimd,atax,0.007198
execution-time,wavmsimd,3mm,6.48828
execution-time,wavmsimd,gesummv,0.004087
execution-time,wavmsimd,syrk,1.412338
execution-time,wavmsimd,gemm,1.176646
execution-time,wavmsimd,syr2k,5.071474
execution-time,wavmsimd,trmm,2.393569
execution-time,wavmsimd,gemver,0.025677
execution-time,wavmsimd,symm,3.415908
execution-time,wavmsimd,trisolv,0.002408
execution-time,wavmsimd,durbin,0.005073
execution-time,wavmsimd,ludcmp,8.165014
execution-time,wavmsimd,gramschmidt,10.22971
execution-time,wavmsimd,cholesky,1.51591
execution-time,wavmsimd,lu,8.43977
execution-time,wavmsimd,floyd-warshall,17.669698
execution-time,wavmsimd,nussinov,6.770806
execution-time,wavmsimd,deriche,0.227263
execution-time,wavmsimd,heat-3d,4.845742
execution-time,wavmsimd,seidel-2d,18.568757
execution-time,wavmsimd,jacobi-2d,2.950461
execution-time,wavmsimd,adi,8.311599
execution-time,wavmsimd,fdtd-2d,2.763785
execution-time,wavmsimd,jacobi-1d,0.002015
