type,name,test,value
execution-time,wavmsimd,covariance,5.853048
execution-time,wavmsimd,correlation,5.88533
execution-time,wavmsimd,mvt,0.02084
execution-time,wavmsimd,bicg,0.009423
execution-time,wavmsimd,doitgen,0.532644
execution-time,wavmsimd,2mm,3.801332
execution-time,wavmsimd,atax,0.00718
execution-time,wavmsimd,3mm,6.598475
execution-time,wavmsimd,gesummv,0.004079
execution-time,wavmsimd,syrk,1.370673
execution-time,wavmsimd,gemm,1.197623
execution-time,wavmsimd,syr2k,5.08239
execution-time,wavmsimd,trmm,2.348472
execution-time,wavmsimd,gemver,0.025615
execution-time,wavmsimd,symm,3.409212
execution-time,wavmsimd,trisolv,0.002406
execution-time,wavmsimd,durbin,0.005065
execution-time,wavmsimd,ludcmp,8.102321
execution-time,wavmsimd,gramschmidt,10.276907
execution-time,wavmsimd,cholesky,1.514711
execution-time,wavmsimd,lu,8.446638
execution-time,wavmsimd,floyd-warshall,17.891313
execution-time,wavmsimd,nussinov,6.773509
execution-time,wavmsimd,deriche,0.228412
execution-time,wavmsimd,heat-3d,4.972976
execution-time,wavmsimd,seidel-2d,18.567374
execution-time,wavmsimd,jacobi-2d,2.974063
execution-time,wavmsimd,adi,8.323528
execution-time,wavmsimd,fdtd-2d,2.746138
execution-time,wavmsimd,jacobi-1d,0.001966
