type,name,test,value
initialization-time,spidermonkey,covariance,0.02863601502031088
initialization-time,spidermonkey,correlation,0.02786619699327275
initialization-time,spidermonkey,mvt,0.028598567005246878
initialization-time,spidermonkey,bicg,0.028632919013034552
initialization-time,spidermonkey,doitgen,0.028763198002707213
initialization-time,spidermonkey,2mm,0.03247131599346176
initialization-time,spidermonkey,atax,0.037236596981529146
initialization-time,spidermonkey,3mm,0.03424292698036879
initialization-time,spidermonkey,gesummv,0.03301240399014205
initialization-time,spidermonkey,syrk,0.03217151603894308
initialization-time,spidermonkey,gemm,0.03210076299728826
initialization-time,spidermonkey,syr2k,0.02893091697478667
initialization-time,spidermonkey,trmm,0.030662988021504134
initialization-time,spidermonkey,gemver,0.03039399499539286
initialization-time,spidermonkey,symm,0.03180865402100608
initialization-time,spidermonkey,trisolv,0.03220826300093904
initialization-time,spidermonkey,durbin,0.03222922800341621
initialization-time,spidermonkey,ludcmp,0.02973978902446106
initialization-time,spidermonkey,gramschmidt,0.028950699022971094
initialization-time,spidermonkey,cholesky,0.03088902699528262
initialization-time,spidermonkey,lu,0.03315188200213015
initialization-time,spidermonkey,floyd-warshall,0.032644314982462674
initialization-time,spidermonkey,nussinov,0.03304931498132646
initialization-time,spidermonkey,deriche,0.03057073400123045
initialization-time,spidermonkey,heat-3d,0.03027137601748109
initialization-time,spidermonkey,seidel-2d,0.03055800701258704
initialization-time,spidermonkey,jacobi-2d,0.030543432047124952
initialization-time,spidermonkey,adi,0.03261408599792048
initialization-time,spidermonkey,fdtd-2d,0.037757222016807646
initialization-time,spidermonkey,jacobi-1d,0.03292841697111726
