type,name,test,value
initialization-time,nodejswasm,covariance,0.04160533899994334
initialization-time,nodejswasm,correlation,0.04094016199815087
initialization-time,nodejswasm,mvt,0.04121968899926287
initialization-time,nodejswasm,bicg,0.03791294199982076
initialization-time,nodejswasm,doitgen,0.037479958999028895
initialization-time,nodejswasm,2mm,0.04050331599864876
initialization-time,nodejswasm,atax,0.040931801002443535
initialization-time,nodejswasm,3mm,0.04331089299739688
initialization-time,nodejswasm,gesummv,0.039553450002131285
initialization-time,nodejswasm,syrk,0.04031425600260263
initialization-time,nodejswasm,gemm,0.03885833300228114
initialization-time,nodejswasm,syr2k,0.042146052001044154
initialization-time,nodejswasm,trmm,0.042846812000789214
initialization-time,nodejswasm,gemver,0.04393454700039001
initialization-time,nodejswasm,symm,0.042166659000940854
initialization-time,nodejswasm,trisolv,0.04055629200229305
initialization-time,nodejswasm,durbin,0.038036764999560546
initialization-time,nodejswasm,ludcmp,0.040539338002417935
initialization-time,nodejswasm,gramschmidt,0.040705950999836205
initialization-time,nodejswasm,cholesky,0.04226663599911262
initialization-time,nodejswasm,lu,0.04232044200034579
initialization-time,nodejswasm,floyd-warshall,0.03899684999851161
initialization-time,nodejswasm,nussinov,0.040115928000886925
initialization-time,nodejswasm,deriche,0.042373887001303956
initialization-time,nodejswasm,heat-3d,0.04178947099717334
initialization-time,nodejswasm,seidel-2d,0.04239881899775355
initialization-time,nodejswasm,jacobi-2d,0.04034486300224671
initialization-time,nodejswasm,adi,0.040970987000036985
initialization-time,nodejswasm,fdtd-2d,0.040413017999526346
initialization-time,nodejswasm,jacobi-1d,0.04131762500037439
