type,name,test,value
execution-time,wasmtimecranelift,covariance,8.806497
execution-time,wasmtimecranelift,correlation,9.594201
execution-time,wasmtimecranelift,mvt,0.045216
execution-time,wasmtimecranelift,bicg,0.034664
execution-time,wasmtimecranelift,doitgen,2.761036
execution-time,wasmtimecranelift,2mm,12.757687
execution-time,wasmtimecranelift,atax,0.029463
execution-time,wasmtimecranelift,3mm,27.217897
execution-time,wasmtimecranelift,gesummv,0.017473
execution-time,wasmtimecranelift,syrk,5.598163
execution-time,wasmtimecranelift,gemm,6.988058
execution-time,wasmtimecranelift,syr2k,15.104827
execution-time,wasmtimecranelift,trmm,3.940609
execution-time,wasmtimecranelift,gemver,0.083021
execution-time,wasmtimecranelift,symm,8.726075
execution-time,wasmtimecranelift,trisolv,0.005945
execution-time,wasmtimecranelift,durbin,0.022615
execution-time,wasmtimecranelift,ludcmp,16.206456
execution-time,wasmtimecranelift,gramschmidt,13.315811
execution-time,wasmtimecranelift,cholesky,5.367927
execution-time,wasmtimecranelift,lu,20.995802
execution-time,wasmtimecranelift,floyd-warshall,143.589024
execution-time,wasmtimecranelift,nussinov,20.680657
execution-time,wasmtimecranelift,deriche,0.381481
execution-time,wasmtimecranelift,heat-3d,21.025911
execution-time,wasmtimecranelift,seidel-2d,21.799311
execution-time,wasmtimecranelift,jacobi-2d,15.522292
execution-time,wasmtimecranelift,adi,18.215874
execution-time,wasmtimecranelift,fdtd-2d,12.480426
execution-time,wasmtimecranelift,jacobi-1d,0.011341
