type,name,test,value
execution-time,nodejs,covariance,6.041
execution-time,nodejs,correlation,6.029
execution-time,nodejs,mvt,0.037
execution-time,nodejs,bicg,0.017
execution-time,nodejs,doitgen,0.87
execution-time,nodejs,2mm,5.848
execution-time,nodejs,atax,0.021
execution-time,nodejs,3mm,10.537
execution-time,nodejs,gesummv,0.012
execution-time,nodejs,syrk,1.92
execution-time,nodejs,gemm,2.74
execution-time,nodejs,syr2k,5.903
execution-time,nodejs,trmm,2.481
execution-time,nodejs,gemver,0.06
execution-time,nodejs,symm,4.382
execution-time,nodejs,trisolv,0.009
execution-time,nodejs,durbin,0.016
execution-time,nodejs,ludcmp,11.04
execution-time,nodejs,gramschmidt,9.62
execution-time,nodejs,cholesky,2.725
execution-time,nodejs,lu,11.471
execution-time,nodejs,floyd-warshall,41.76
execution-time,nodejs,nussinov,11.74
execution-time,nodejs,deriche,0.595
execution-time,nodejs,heat-3d,8.151
execution-time,nodejs,seidel-2d,19.667
execution-time,nodejs,jacobi-2d,5.978
execution-time,nodejs,adi,9.197
execution-time,nodejs,fdtd-2d,4.854
execution-time,nodejs,jacobi-1d,0.009
