type,name,test,value
execution-time,wasmer,covariance,6.558444
execution-time,wasmer,correlation,6.589481
execution-time,wasmer,mvt,0.032194
execution-time,wasmer,bicg,0.024335
execution-time,wasmer,doitgen,1.249398
execution-time,wasmer,2mm,7.966111
execution-time,wasmer,atax,0.021329
execution-time,wasmer,3mm,15.731999
execution-time,wasmer,gesummv,0.009753
execution-time,wasmer,syrk,3.682346
execution-time,wasmer,gemm,3.847093
execution-time,wasmer,syr2k,9.833618
execution-time,wasmer,trmm,2.901134
execution-time,wasmer,gemver,0.050271
execution-time,wasmer,symm,6.430811
execution-time,wasmer,trisolv,0.004414
execution-time,wasmer,durbin,0.012074
execution-time,wasmer,ludcmp,12.565403
execution-time,wasmer,gramschmidt,9.979159
execution-time,wasmer,cholesky,2.989061
execution-time,wasmer,lu,13.376119
execution-time,wasmer,floyd-warshall,77.073127
execution-time,wasmer,nussinov,13.464712
execution-time,wasmer,deriche,0.258849
execution-time,wasmer,heat-3d,11.473675
execution-time,wasmer,seidel-2d,21.562936
execution-time,wasmer,jacobi-2d,8.199825
execution-time,wasmer,adi,10.869135
execution-time,wasmer,fdtd-2d,7.075023
execution-time,wasmer,jacobi-1d,0.006582
