type,name,test,value
execution-time,nodejs,covariance,6.064
execution-time,nodejs,correlation,6.05
execution-time,nodejs,mvt,0.037
execution-time,nodejs,bicg,0.017
execution-time,nodejs,doitgen,0.85
execution-time,nodejs,2mm,5.663
execution-time,nodejs,atax,0.022
execution-time,nodejs,3mm,10.431
execution-time,nodejs,gesummv,0.011
execution-time,nodejs,syrk,1.951
execution-time,nodejs,gemm,2.739
execution-time,nodejs,syr2k,5.88
execution-time,nodejs,trmm,2.517
execution-time,nodejs,gemver,0.058
execution-time,nodejs,symm,4.377
execution-time,nodejs,trisolv,0.009
execution-time,nodejs,durbin,0.015
execution-time,nodejs,ludcmp,11.081
execution-time,nodejs,gramschmidt,9.632
execution-time,nodejs,cholesky,2.589
execution-time,nodejs,lu,11.423
execution-time,nodejs,floyd-warshall,41.391
execution-time,nodejs,nussinov,11.359
execution-time,nodejs,deriche,0.596
execution-time,nodejs,heat-3d,7.951
execution-time,nodejs,seidel-2d,19.659
execution-time,nodejs,jacobi-2d,5.883
execution-time,nodejs,adi,9.118
execution-time,nodejs,fdtd-2d,4.781
execution-time,nodejs,jacobi-1d,0.009
