type,name,test,value
initialization-time,wasmtimecraneliftoptimized,covariance,0.1485336740000065
initialization-time,wasmtimecraneliftoptimized,correlation,0.1531899099999947
initialization-time,wasmtimecraneliftoptimized,mvt,0.1475762350000025
initialization-time,wasmtimecraneliftoptimized,bicg,0.14703143100000204
initialization-time,wasmtimecraneliftoptimized,doitgen,0.16089789200000837
initialization-time,wasmtimecraneliftoptimized,2mm,0.15846566399999062
initialization-time,wasmtimecraneliftoptimized,atax,0.1591915580000034
initialization-time,wasmtimecraneliftoptimized,3mm,0.14395377499999995
initialization-time,wasmtimecraneliftoptimized,gesummv,0.15327054000000828
initialization-time,wasmtimecraneliftoptimized,syrk,0.15273698300001115
initialization-time,wasmtimecraneliftoptimized,gemm,0.14873193900000103
initialization-time,wasmtimecraneliftoptimized,syr2k,0.14707759499999895
initialization-time,wasmtimecraneliftoptimized,trmm,0.15119953099998895
initialization-time,wasmtimecraneliftoptimized,gemver,0.1490488929999998
initialization-time,wasmtimecraneliftoptimized,symm,0.14897421300000246
initialization-time,wasmtimecraneliftoptimized,trisolv,0.16152521099999717
initialization-time,wasmtimecraneliftoptimized,durbin,0.15134695899999429
initialization-time,wasmtimecraneliftoptimized,ludcmp,0.148610201000011
initialization-time,wasmtimecraneliftoptimized,gramschmidt,0.1477495240000053
initialization-time,wasmtimecraneliftoptimized,cholesky,0.14959646600000553
initialization-time,wasmtimecraneliftoptimized,lu,0.1487565670000066
initialization-time,wasmtimecraneliftoptimized,floyd-warshall,0.15285787800000605
initialization-time,wasmtimecraneliftoptimized,nussinov,0.1711952840000066
initialization-time,wasmtimecraneliftoptimized,deriche,0.1436007779999926
initialization-time,wasmtimecraneliftoptimized,heat-3d,0.14948579200000722
initialization-time,wasmtimecraneliftoptimized,seidel-2d,0.15424873199999922
initialization-time,wasmtimecraneliftoptimized,jacobi-2d,0.16365696700000854
initialization-time,wasmtimecraneliftoptimized,adi,0.1624437370000038
initialization-time,wasmtimecraneliftoptimized,fdtd-2d,0.1803215730000005
initialization-time,wasmtimecraneliftoptimized,jacobi-1d,0.1669605230000002
