Algorithm,x86-64,Node.js (asm.js),SpiderMonkey (asm.js),Node.js (WASM),SpiderMonkey (WASM),Wasmtime,Wasmer,WAVM
2mm,3.2825544666666673,5.730066666666667,7.680133333333331,4.351266666666667,4.656066666666666,12.865858466666667,7.765064400000002,3.9008178
3mm,5.9062057333333335,10.339333333333334,16.052533333333336,7.801466666666667,7.9798,26.780318333333337,15.547614933333334,6.512275066666667
adi,8.963007066666668,9.174733333333334,12.192933333333334,8.9378,8.522733333333333,19.033778866666662,10.206722533333334,8.376118400000001
atax,0.006187933333333334,0.02146666666666667,0.029133333333333344,0.0076000000000000035,0.009266666666666666,0.028316133333333337,0.021166400000000005,0.007147733333333334
bicg,0.010222133333333333,0.01713333333333334,0.024933333333333342,0.009466666666666668,0.009866666666666666,0.03431953333333334,0.024592333333333334,0.009816666666666666
cholesky,1.5279347333333333,2.663866666666667,3.2408666666666663,1.5257333333333334,1.576933333333333,5.603578333333333,2.987497933333334,1.5543904000000002
correlation,6.0928933333333335,6.051999999999999,6.3278,5.905066666666667,5.976066666666666,9.3020788,6.788880333333334,5.996000666666666
covariance,6.110242266666666,6.081800000000001,6.402933333333333,5.817666666666666,5.993800000000001,8.886880799999998,6.795716266666667,6.008849266666667
deriche,0.25476340000000003,0.5946666666666667,0.3979333333333334,0.23793333333333339,0.24613333333333334,0.3854552666666667,0.25474613333333335,0.2428261333333333
doitgen,0.5372592666666667,0.8607333333333334,1.7298000000000002,0.5758666666666665,0.8482,2.660960133333333,1.2678546000000002,0.5441834666666667
durbin,0.003234133333333334,0.015066666666666673,0.020933333333333335,0.004600000000000001,0.0072666666666666695,0.0225402,0.0126918,0.005250533333333333
fdtd-2d,2.2072995333333334,4.850733333333333,7.765733333333334,3.171533333333333,3.5811333333333333,12.8904406,7.187056799999999,2.647795533333334
floyd-warshall,15.171025333333334,40.14066666666667,70.96006666666666,35.79226666666667,32.974666666666664,144.8849435333333,82.84000106666666,18.563128000000003
gemm,0.7333627333333333,2.7401999999999997,4.9928,1.7997999999999998,2.1779333333333333,7.0585294,3.7714972666666666,1.1632250666666668
gemver,0.025197999999999998,0.059066666666666684,0.06586666666666667,0.028666666666666677,0.02880000000000001,0.08219553333333333,0.05034306666666667,0.026573599999999996
gesummv,0.004595733333333334,0.0114,0.012333333333333335,0.004133333333333335,0.004266666666666668,0.01726906666666667,0.009919733333333331,0.004009266666666666
gramschmidt,10.900183866666667,9.674133333333335,9.506533333333332,10.031666666666668,9.823533333333334,13.145541000000001,9.951674066666667,10.293489133333333
heat-3d,2.5398476,8.08933333333333,30.099666666666668,4.575933333333333,4.966533333333334,21.265718600000003,11.516303400000002,4.785431666666668
jacobi-1d,0.0008319333333333332,0.009533333333333333,0.014866666666666672,0.002066666666666667,0.002800000000000001,0.011798466666666669,0.006534466666666667,0.001968133333333333
jacobi-2d,1.8416308000000001,5.913199999999999,11.1526,2.9104000000000005,3.627866666666667,15.657577533333335,8.126214466666665,2.9008314000000004
lu,8.122199266666666,11.475600000000002,13.347133333333336,8.871266666666667,9.064533333333333,20.612643600000002,13.550879399999998,8.6294254
ludcmp,7.9360370666666675,11.061200000000001,13.831066666666663,8.7758,8.799133333333334,15.974538599999999,12.515965533333334,8.047481333333334
mvt,0.02095473333333333,0.03713333333333335,0.038533333333333336,0.020666666666666667,0.021,0.0454486,0.03200426666666667,0.021713866666666668
nussinov,6.334001000000001,11.33553333333333,28.115533333333335,8.1824,8.652666666666667,20.468447000000005,13.483394333333335,6.969753399999999
seidel-2d,19.038447200000004,19.66146666666667,19.02946666666667,20.539133333333332,19.60186666666667,21.799372866666662,21.623761199999997,18.665114533333334
symm,3.3320901333333333,4.3915999999999995,5.307466666666666,3.678733333333333,3.8973333333333327,8.7290394,6.525319199999999,3.4438139333333333
syr2k,4.823608733333333,5.897666666666666,7.4362666666666675,5.169066666666667,5.479533333333333,15.099817466666668,10.030359466666669,5.243636933333334
syrk,1.0023529333333332,1.9384000000000001,2.9223333333333334,1.5184666666666662,1.663733333333333,5.607241999999999,3.7450162000000007,1.3987174666666666
trisolv,0.0026427333333333336,0.008933333333333338,0.008466666666666671,0.0022000000000000006,0.0028666666666666675,0.005959733333333333,0.0044618,0.002387533333333333
trmm,2.387488333333333,2.5108666666666664,2.8655999999999997,2.326266666666667,2.430066666666667,3.932373133333334,2.8993746666666667,2.3916999333333333
